seconds,sensor_0,sensor_1,actuator_0,target
29.0800,26.3530,26.0990,30.0000,"25.0"
29.1200,26.3790,26.0990,30.0000,"25.0"
29.1400,26.3790,26.0990,30.0000,"25.0"
29.1800,26.3530,26.0990,30.0000,"25.0"
29.2000,26.3530,26.1240,30.0000,"25.0"
29.2400,26.3790,26.0990,30.0000,"25.0"
29.2600,26.3790,26.0730,30.0000,"25.0"
29.3000,26.3790,26.0730,30.0000,"25.0"
29.3200,26.3530,26.0990,30.0000,"25.0"
29.3601,26.3790,26.0990,30.0000,"25.0"
29.3800,26.3790,26.0990,30.0000,"25.0"
29.4200,26.3790,26.0730,30.0000,"25.0"
29.4400,26.3530,26.0990,30.0000,"25.0"
29.4800,26.3530,26.0990,30.0000,"25.0"
29.5000,26.3790,26.0990,30.0000,"25.0"
29.5400,26.3530,26.0990,30.0000,"25.0"
29.5600,26.3530,26.0990,30.0000,"25.0"
29.6000,26.3530,26.0990,30.0000,"25.0"
29.6200,26.3790,26.0990,30.0000,"25.0"
29.6600,26.3530,26.0990,30.0000,"25.0"
29.6800,26.3530,26.0990,30.0000,"25.0"
29.7200,26.3790,26.0990,30.0000,"25.0"
29.7400,26.3530,26.1240,30.0000,"25.0"
29.7800,26.3790,26.0990,30.0000,"25.0"
29.8000,26.3530,26.0990,30.0000,"25.0"
29.8400,26.3530,26.1240,30.0000,"25.0"
29.8600,26.3790,26.1240,30.0000,"25.0"
29.9000,26.3530,26.0990,30.0000,"25.0"
29.9200,26.3530,26.0990,30.0000,"25.0"
29.9600,26.3530,26.0990,30.0000,"25.0"
29.9800,26.3790,26.0990,30.0000,"25.0"
30.0200,26.3790,26.1240,30.0000,"25.0"
30.0400,26.4040,26.0990,30.0000,"25.0"
30.0800,26.3790,26.0990,30.0000,"25.0"
30.1000,26.3530,26.1240,30.0000,"25.0"
30.1400,26.3790,26.0990,30.0000,"25.0"
30.1600,26.4040,26.0990,30.0000,"25.0"
30.2000,26.3790,26.1240,30.0000,"25.0"
30.2200,26.3790,26.1240,30.0000,"25.0"
30.2600,26.3530,26.1240,30.0000,"25.0"
30.3000,26.3790,26.0990,30.0000,"25.0"
30.3200,26.3530,26.0990,30.0000,"25.0"
30.3600,26.3530,26.0990,30.0000,"25.0"
30.3800,26.3280,26.0990,30.0000,"25.0"
30.4200,26.3790,26.0990,30.0000,"25.0"
30.4400,26.3790,26.1240,30.0000,"25.0"
30.4800,26.3530,26.0990,30.0000,"25.0"
30.5000,26.3790,26.0990,30.0000,"25.0"
30.5400,26.3790,26.0990,30.0000,"25.0"
30.5600,26.4040,26.1240,30.0000,"25.0"
30.6000,26.3790,26.1240,30.0000,"25.0"
30.6200,26.3790,26.1240,30.0000,"25.0"
30.6600,26.3790,26.1240,30.0000,"25.0"
30.6800,26.4040,26.1240,30.0000,"25.0"
30.7200,26.4040,26.0990,30.0000,"25.0"
30.7400,26.3790,26.1240,30.0000,"25.0"
30.7800,26.3790,26.1240,30.0000,"25.0"
30.8000,26.4040,26.1240,30.0000,"25.0"
30.8400,26.3790,26.1240,30.0000,"25.0"
30.8600,26.3530,26.1240,30.0000,"25.0"
30.9000,26.3790,26.1240,30.0000,"25.0"
30.9200,26.3790,26.0990,30.0000,"25.0"
30.9600,26.4040,26.0990,30.0000,"25.0"
30.9800,26.3790,26.0990,30.0000,"25.0"
31.0200,26.3790,26.1240,30.0000,"25.0"
31.0400,26.3790,26.1240,30.0000,"25.0"
31.0800,26.3790,26.1240,30.0000,"25.0"
31.1000,26.3530,26.0990,30.0000,"25.0"
31.1400,26.3790,26.1240,30.0000,"25.0"
31.1600,26.3790,26.1240,30.0000,"25.0"
31.2000,26.3790,26.1240,30.0000,"25.0"
31.2200,26.3790,26.1240,30.0000,"25.0"
31.2600,26.3790,26.1240,30.0000,"25.0"
31.2800,26.3790,26.1240,30.0000,"25.0"
31.3200,26.3790,26.1240,30.0000,"25.0"
31.3400,26.3790,26.1240,30.0000,"25.0"
31.3800,26.3790,26.1240,30.0000,"25.0"
31.4001,26.3790,26.1240,30.0000,"25.0"
31.4400,26.3790,26.1240,30.0000,"25.0"
31.4600,26.4040,26.1500,30.0000,"25.0"
31.5000,26.3790,26.1240,30.0000,"25.0"
31.5200,26.3790,26.1240,30.0000,"25.0"
31.5600,26.3790,26.1240,30.0000,"25.0"
31.5800,26.3790,26.1240,30.0000,"25.0"
31.6200,26.3790,26.1240,30.0000,"25.0"
31.6400,26.3790,26.1240,30.0000,"25.0"
31.6800,26.3790,26.1240,30.0000,"25.0"
31.7000,26.3790,26.1240,30.0000,"25.0"
31.7400,26.4040,26.0990,30.0000,"25.0"
31.7600,26.3790,26.1240,30.0000,"25.0"
31.8000,26.3530,26.1240,30.0000,"25.0"
31.8200,26.3790,26.1240,30.0000,"25.0"
31.8600,26.3790,26.1240,30.0000,"25.0"
31.8800,26.3790,26.1240,30.0000,"25.0"
31.9200,26.3790,26.1240,30.0000,"25.0"
31.9400,26.4040,26.1240,30.0000,"25.0"
31.9800,26.4040,26.1240,30.0000,"25.0"
32.0000,26.3790,26.1240,30.0000,"25.0"
32.0400,26.4040,26.1240,30.0000,"25.0"
32.0600,26.4040,26.0990,30.0000,"25.0"
32.1000,26.4040,26.1240,30.0000,"25.0"
32.1200,26.3790,26.1240,30.0000,"25.0"
32.1600,26.4040,26.1240,30.0000,"25.0"
32.1800,26.4300,26.1240,30.0000,"25.0"
32.2200,26.3790,26.1240,30.0000,"25.0"
32.2400,26.4040,26.1240,30.0000,"25.0"
32.2800,26.3790,26.1240,30.0000,"25.0"
32.3000,26.4040,26.1240,30.0000,"25.0"
32.3400,26.3790,26.1240,30.0000,"25.0"
32.3600,26.4040,26.1240,30.0000,"25.0"
32.4000,26.4040,26.1240,30.0000,"25.0"
32.4200,26.3790,26.1240,30.0000,"25.0"
32.4600,26.3790,26.1240,30.0000,"25.0"
