time,temp_a,temp_b
00:57.928,25.76,26.0
00:58.050,25.77,26.0
00:58.177,25.77,26.0
00:58.300,25.78,26.0
00:58.423,25.78,26.0
00:58.546,25.78,26.0
00:58.673,25.79,26.0
00:58.796,25.79,26.0
00:58.919,25.79,26.0
00:59.042,25.79,26.0
00:59.168,25.79,26.0
00:59.291,25.79,26.0
00:59.414,25.79,26.0
00:59.541,25.79,26.0
00:59.664,25.8,26.0
00:59.787,25.79,26.0
00:59.910,25.79,26.0
01:60.037,25.8,26.0
01:60.160,25.8,26.0
01:60.282,25.8,26.0
01:60.406,25.8,26.0
01:60.532,25.8,26.0
01:60.656,25.8,26.0
01:60.778,25.8,26.0
01:60.901,25.8,26.01
01:61.028,25.8,26.01
01:61.151,25.8,26.0
01:61.273,25.8,26.01
01:61.400,25.8,26.01
01:61.523,25.8,26.02
01:61.646,25.8,26.02
01:61.770,25.8,26.02
01:61.896,25.8,26.03
01:62.019,25.8,26.03
01:62.142,25.8,26.03
01:62.265,25.81,26.04
01:62.392,25.81,26.04
01:62.515,25.81,26.05
01:62.638,25.81,26.05
01:62.761,25.81,26.06
01:62.888,25.82,26.06
01:63.011,25.82,26.08
01:63.134,25.82,26.08
01:63.260,25.83,26.09
01:63.383,25.83,26.09
01:63.506,25.84,26.09
01:63.629,25.84,26.09
01:63.756,25.85,26.09
01:63.879,25.85,26.1
01:64.002,25.86,26.1
01:64.125,25.86,26.1
01:64.251,25.87,26.1
01:64.374,25.87,26.1
01:64.498,25.88,26.1
01:64.620,25.88,26.1
01:64.747,25.88,26.1
01:64.870,25.89,26.1
01:64.993,25.89,26.1
01:65.116,25.89,26.1
01:65.243,25.89,26.1
01:65.366,25.89,26.1
01:65.489,25.89,26.1
01:65.615,25.89,26.1
01:65.738,25.9,26.1
01:65.861,25.9,26.1
01:65.984,25.9,26.1
01:66.111,25.9,26.1
01:66.234,25.9,26.1
01:66.357,25.9,26.1
01:66.480,25.9,26.1
01:66.607,25.9,26.1
01:66.730,25.9,26.1
01:66.853,25.9,26.1
01:66.976,25.9,26.1
01:67.102,25.9,26.1
01:67.225,25.9,26.1
01:67.348,25.9,26.1
01:67.475,25.9,26.1
01:67.598,25.9,26.1
01:67.721,25.9,26.1
01:67.844,25.9,26.1
01:67.970,25.9,26.1
01:68.093,25.9,26.11
01:68.217,25.9,26.11
01:68.339,25.9,26.11
01:68.466,25.9,26.11
01:68.589,25.9,26.12
01:68.712,25.9,26.11
01:68.835,25.9,26.12
01:68.962,25.9,26.12
01:69.085,25.91,26.13
01:69.208,25.91,26.13
01:69.334,25.91,26.13
01:69.457,25.91,26.14
01:69.580,25.91,26.14
01:69.703,25.92,26.15
01:69.830,25.92,26.15
01:69.953,25.92,26.16
01:70.076,25.93,26.16
01:70.199,25.93,26.16
01:70.326,25.94,26.16
01:70.449,25.94,26.17
01:70.572,25.94,26.18
01:70.695,25.95,26.18
01:70.821,25.96,26.19
01:70.944,25.96,26.19
01:71.067,25.96,26.19
01:71.190,25.97,26.19
01:71.317,25.97,26.2
01:71.440,25.98,26.2
01:71.563,25.98,26.2
01:71.690,25.98,26.2
01:71.813,25.99,26.2
01:71.936,25.99,26.2
01:72.059,25.99,26.2
01:72.185,25.99,26.2
01:72.308,25.99,26.2
01:72.431,26.0,26.2
01:72.554,26.0,26.2
01:72.681,26.0,26.2
01:72.804,26.0,26.2
01:72.927,26.0,26.2
01:73.050,26.0,26.2
01:73.176,26.0,26.2
01:73.299,26.0,26.2
01:73.423,26.0,26.2
01:73.549,26.0,26.2
01:73.672,26.0,26.2
01:73.795,26.0,26.2
01:73.918,26.0,26.2
01:74.045,26.0,26.2
01:74.168,26.0,26.2
01:74.291,26.0,26.2
01:74.414,26.0,26.2
01:74.540,26.0,26.2
01:74.664,26.0,26.2
01:74.787,26.0,26.2
01:74.909,26.0,26.2
01:75.036,26.0,26.21
01:75.159,26.0,26.21
01:75.282,26.0,26.21
01:75.405,26.0,26.21
01:75.532,26.0,26.21
01:75.655,26.0,26.21
01:75.777,26.0,26.21
01:75.904,26.01,26.21
01:76.027,26.01,26.22
01:76.150,26.01,26.22
01:76.273,26.01,26.22
01:76.400,26.01,26.22
01:76.523,26.01,26.23
01:76.646,26.02,26.23
01:76.769,26.02,26.24
01:76.896,26.03,26.24
01:77.019,26.03,26.25
01:77.141,26.03,26.25
01:77.264,26.04,26.26
01:77.391,26.04,26.26
01:77.514,26.05,26.26
01:77.637,26.05,26.28
01:77.760,26.06,26.27
01:77.887,26.06,26.28
01:78.010,26.06,26.29
01:78.133,26.07,26.29
01:78.259,26.07,26.3
01:78.382,26.07,26.3
01:78.506,26.09,26.3
01:78.629,26.09,26.3
01:78.755,26.09,26.3
01:78.878,26.09,26.3
01:79.001,26.09,26.3
01:79.124,26.1,26.3
01:79.251,26.09,26.3
01:79.374,26.1,26.3
01:79.497,26.1,26.3
01:79.620,26.1,26.3
01:79.746,26.1,26.3
01:79.869,26.1,26.3
01:79.992,26.1,26.3
01:80.119,26.1,26.3
01:80.242,26.1,26.3
01:80.365,26.1,26.3
01:80.488,26.1,26.3
01:80.615,26.1,26.3
01:80.738,26.1,26.3
01:80.861,26.1,26.3
01:80.984,26.1,26.3
01:81.110,26.1,26.3
01:81.234,26.1,26.3
01:81.356,26.1,26.3
01:81.479,26.1,26.3
01:81.606,26.1,26.3
01:81.729,26.1,26.3
01:81.852,26.1,26.31
01:81.979,26.1,26.31
01:82.102,26.1,26.31
01:82.225,26.1,26.31
01:82.347,26.1,26.31
01:82.474,26.1,26.31
01:82.597,26.1,26.31
01:82.720,26.1,26.32
